match_id,customer_id,product_id,similarity_score,recommendation_type,match_date,clicked,purchased,recommendation_context
MATCH_014371,38453,P000706,0.6000,style_based,2025-09-29 22:48:18.591961,t,t,homepage_recommendations
MATCH_079901,9926,P000351,0.6000,style_based,2025-09-29 22:47:09.591001,t,t,homepage_recommendations
MATCH_015092,23485,P000681,0.6000,style_based,2025-09-29 22:43:49.448947,t,t,homepage_recommendations
MATCH_068368,42485,P000314,0.6000,style_based,2025-09-29 22:43:30.602836,t,t,homepage_recommendations
MATCH_085596,35158,P000118,0.6000,style_based,2025-09-29 22:41:54.936781,t,t,homepage_recommendations
MATCH_019818,9071,P000458,0.6000,style_based,2025-09-29 22:40:14.23182,t,t,homepage_recommendations
MATCH_039850,598,P000103,0.6000,style_based,2025-09-29 22:38:56.940835,t,t,homepage_recommendations
MATCH_002507,20392,P000695,0.6000,style_based,2025-09-29 22:35:39.579639,t,t,homepage_recommendations
MATCH_044747,13171,P000328,0.6000,style_based,2025-09-29 22:35:18.274871,t,t,homepage_recommendations
MATCH_058903,18762,P000278,0.6000,style_based,2025-09-29 22:34:14.81002,t,t,homepage_recommendations
MATCH_061892,34987,P000681,0.6000,style_based,2025-09-29 22:32:48.364124,t,t,homepage_recommendations
MATCH_098519,37880,P000588,0.6000,style_based,2025-09-29 22:32:34.808112,t,t,homepage_recommendations
MATCH_015497,28643,P000033,0.6000,style_based,2025-09-29 22:31:49.688411,t,t,homepage_recommendations
MATCH_037386,7637,P000612,0.6000,style_based,2025-09-29 22:29:39.539944,t,t,homepage_recommendations
MATCH_015159,38348,P000389,0.6000,style_based,2025-09-29 22:28:16.876213,t,t,homepage_recommendations
MATCH_024373,27653,P000343,0.6000,style_based,2025-09-29 22:27:32.412668,t,t,homepage_recommendations
MATCH_097166,4706,P000004,0.6000,style_based,2025-09-29 22:24:43.491288,t,t,homepage_recommendations
MATCH_095220,30739,P000289,0.6000,style_based,2025-09-29 22:24:28.977646,t,t,homepage_recommendations
MATCH_017790,1764,P000454,0.6000,style_based,2025-09-29 22:23:57.946309,t,t,homepage_recommendations
MATCH_077551,2348,P000707,0.6000,style_based,2025-09-29 22:23:18.450154,t,t,homepage_recommendations
MATCH_029495,23198,P000582,0.6000,style_based,2025-09-29 22:22:31.915341,t,t,homepage_recommendations
MATCH_002424,30667,P000226,0.6000,style_based,2025-09-29 22:20:15.222178,t,t,homepage_recommendations
MATCH_060014,33893,P000387,0.6000,style_based,2025-09-29 22:20:11.906242,t,t,homepage_recommendations
MATCH_086172,4972,P000099,0.6000,style_based,2025-09-29 22:20:05.929448,t,t,homepage_recommendations
MATCH_009089,38393,P000338,0.6000,style_based,2025-09-29 22:19:43.98478,t,t,homepage_recommendations
MATCH_039441,9762,P000652,0.6000,style_based,2025-09-29 22:16:57.17578,t,t,homepage_recommendations
MATCH_072087,35424,P000356,0.6000,style_based,2025-09-29 22:16:28.542479,t,t,homepage_recommendations
MATCH_045300,38512,P000388,0.6000,style_based,2025-09-29 22:15:55.116435,t,t,homepage_recommendations
MATCH_093391,28884,P000655,0.6000,style_based,2025-09-29 22:15:15.095362,t,t,homepage_recommendations
MATCH_062962,23774,P000132,0.6000,style_based,2025-09-29 22:14:43.994327,t,t,homepage_recommendations
MATCH_076322,8323,P000600,0.6000,style_based,2025-09-29 22:14:07.749039,t,t,homepage_recommendations
MATCH_099610,20544,P000246,0.6000,style_based,2025-09-29 22:13:43.544755,t,t,homepage_recommendations
MATCH_041148,12707,P000597,0.6000,style_based,2025-09-29 22:12:48.560963,t,t,homepage_recommendations
MATCH_040323,38055,P000326,0.6000,style_based,2025-09-29 22:12:06.890391,t,t,homepage_recommendations
MATCH_017344,18748,P000498,0.6000,style_based,2025-09-29 22:09:52.358681,t,t,homepage_recommendations
MATCH_011825,46412,P000005,0.6000,style_based,2025-09-29 22:08:58.10707,t,t,homepage_recommendations
MATCH_085416,23631,P000473,0.6000,style_based,2025-09-29 22:06:21.383299,t,t,homepage_recommendations
